0.04	10.8867	10.08
0.36	11.6403	12.1049
0.84	12.1625	12.6273
1.21	12.3822	12.6314
1.54	12.517	13.7935
1.84	12.6106	11.3955
2.28	12.7187	12.3869
2.67	12.7994	12.8618
3.03	12.8714	12.3529
3.22	12.9115	12.2218
3.47	12.97	11.7012
3.56	12.9933	13.1537
3.71	13.0359	13.1717
3.95	13.1164	14.5495
4.38	13.3183	13.4347
5.09	13.9379	13.594
6.01	15.6058	15.1106
6.51	16.8321	17.9063
6.93	17.8013	19.9872
7.38	18.6075	17.1736
7.7	19.0095	19.4357
8.16	19.3822	20.8338
8.9	19.6704	19.595
9.52	19.7713	18.6479
9.78	19.7959	16.7117
