0.1	9.97668	10.3018
0.62	11.7512	10.977
0.93	12.3792	12.7875
1.25	12.7208	12.199
1.54	12.8662	11.6618
2.57	13.0114	11.931
2.93	13.0286	14.1912
3.11	13.0354	12.6159
3.4	13.0448	11.9615
4.22	13.0645	13.2054
4.45	13.3857	12.81
4.67	13.7503	13.8076
4.81	13.9821	14.2292
5.32	14.8256	15.0789
5.48	15.09	14.3176
5.75	15.5359	13.87
5.95	15.8661	16.0916
6.2	16.2785	16.7616
6.47	16.7238	15.4898
7.07	17.7127	18.3115
8.07	19.3593	18.2849
8.5	19.7736	17.9476
8.78	19.6581	18.7996
9.15	19.5467	20.1982
9.56	19.5436	19.2309
