0.07	10.6842	10.0385
0.26	10.6759	10.9378
1.3	12.9986	11.773
1.63	13.0013	12.7545
2.01	13.0052	12.9151
2.37	13.0116	12.5446
2.54	13.0161	12.9749
2.88	13.0295	13.5328
3.22	13.052	13.1417
3.7	13.1118	12.7751
4.04	13.189	13.2577
4.38	13.3158	13.7034
4.89	13.6622	14.0448
5.12	13.9091	13.9179
5.23	14.0525	14.361
5.64	14.7466	15.1907
6	15.5487	15.249
6.55	16.9066	16.1411
7.22	18.2163	18.2059
7.6	18.6755	19.3106
8.07	19.0163	19.2372
8.51	19.1879	19.6885
8.67	19.2279	19.7422
9.11	19.2995	19.0312
9.63	19.341	19.4262
