0.22	14.5741	7.30676
0.84	14.8399	9.38356
1.15	11.6319	9.04707
1.64	12.8106	15.6706
1.98	14.1757	17.5405
2.17	15.0045	15.5949
2.51	13.4729	15.7205
2.7	14.934	16.1467
2.9	14.5666	10.1172
3.45	15.0239	10.9116
3.83	11.5055	16.8892
4.17	14.9875	10.9171
4.59	11.9715	13.3255
5.3	14.7998	9.25935
5.75	17.7766	11.8885
6.61	19.2675	13.3755
7.13	21.2648	21.9914
7.37	18.7295	15.3343
7.65	19.3949	13.5994
7.91	18.5237	24.0137
8.21	17.9877	15.7008
8.97	18.0354	21.1561
9.08	18.0767	17.8645
9.39	20.9938	20.7845
9.83	19.3245	12.2445
