0.09	10.1228	8.85649
0.55	10.1228	9.41178
1.07	10.1228	10.3941
1.42	10.1228	10.6714
1.76	12.7826	11.3405
2.07	12.4692	11.0058
2.51	12.1398	12.3144
2.97	11.8861	11.1696
3.42	11.7808	12.4879
3.91	11.8619	11.4971
4.32	12.0679	11.9224
4.37	12.0993	12.6224
4.6	12.2566	13.4702
4.91	12.5019	13.0937
5.27	12.9001	14.2773
6.1	15.2604	14.3261
6.41	15.9388	13.3945
7.17	16.7275	16.33
7.28	16.7914	17.395
7.87	16.949	18.1151
8.26	16.9762	18.9869
8.62	16.9857	15.6659
9.15	16.9901	18.0618
9.43	16.9901	17.6765
9.6	16.9894	15.7348
